time,id,temp,hum,PM1,PM2.5,PM10
2021-03-19 04:20:16 CET,135,1.2,70.9,7.41,8.16,8.16
2021-03-19 04:25:16 CET,136,1.0,71.5,6.44,17.14,28.71
2021-03-19 04:30:19 CET,137,1.1,71.6,5.44,10.26,15.17
2021-03-19 04:35:16 CET,138,1.0,71.6,9.8,16.89,23.9
2021-03-19 04:40:16 CET,139,0.9,72.0,12.56,32.1,53.11
2021-03-19 04:45:16 CET,140,1.0,72.2,4.19,9.4,14.9
2021-03-19 04:50:16 CET,141,1.0,72.1,7.41,8.16,8.16
2021-03-19 04:55:16 CET,142,0.9,72.3,2.02,2.23,2.23
2021-03-19 05:00:17 CET,143,0.9,72.8,4.11,8.89,13.91
2021-03-19 05:05:17 CET,144,0.9,72.9,6.05,10.57,15.06
2021-03-19 05:10:16 CET,145,0.8,73.0,7.35,11.71,15.87
2021-03-19 05:15:18 CET,146,0.8,72.9,3.99,11.93,20.61
2021-03-19 05:20:16 CET,147,0.8,72.9,6.06,6.68,6.68
2021-03-19 05:25:16 CET,148,0.7,73.6,3.35,11.46,20.4
2021-03-19 05:30:16 CET,149,0.7,73.9,6.93,8.82,10.18
2021-03-19 05:35:16 CET,150,0.7,73.5,5.75,12.35,19.28
2021-03-19 05:40:16 CET,151,0.6,74.1,7.1,17.79,29.26
2021-03-19 05:45:16 CET,152,0.6,74.2,9.58,23.23,37.82
2021-03-19 05:50:19 CET,153,0.6,74.7,10.38,20.96,31.91
2021-03-19 05:55:16 CET,154,0.6,74.7,8.52,15.91,23.41
2021-03-19 06:00:16 CET,155,0.5,74.5,6.41,20.87,36.76
2021-03-19 06:05:16 CET,156,0.4,75.2,5.12,15.89,27.68
2021-03-19 06:10:18 CET,157,0.3,74.7,8.72,13.36,17.68
2021-03-19 06:15:19 CET,158,0.3,73.6,4.18,9.35,14.81
2021-03-19 06:20:16 CET,159,0.4,73.6,6.06,6.68,6.68
2021-03-19 06:25:16 CET,160,0.4,73.5,4.68,8.86,13.13
2021-03-19 06:30:17 CET,161,0.4,74.5,7.0,13.23,19.57
2021-03-19 06:35:17 CET,162,0.4,75.4,6.06,6.68,6.68
2021-03-19 06:40:18 CET,163,0.3,75.5,5.14,12.12,19.53
2021-03-19 06:45:16 CET,164,0.3,75.6,8.42,15.21,22.04
2021-03-19 06:50:16 CET,165,0.4,75.6,7.47,16.44,25.88
2021-03-19 06:55:16 CET,166,0.3,74.6,5.82,12.85,20.25
2021-03-19 07:00:16 CET,167,0.4,72.5,2.91,8.42,14.42
