,temp_pi_t0,hum_pi_t0,PM1_pi_t0,PM2.5_pi_t0,PM10_pi_t0,wind_speed_t0,temp_pi_t1,hum_pi_t1,PM1_pi_t1,PM2.5_pi_t1,PM10_pi_t1,wind_speed_t1,temp_pi_t2,hum_pi_t2,PM1_pi_t2,PM2.5_pi_t2,PM10_pi_t2,wind_speed_t2,temp_pi_t3,hum_pi_t3,PM1_pi_t3,PM2.5_pi_t3,PM10_pi_t3,wind_speed_t3,temp_pi_t4,hum_pi_t4,PM1_pi_t4,PM2.5_pi_t4,PM10_pi_t4,wind_speed_t4,temp_pi_t5,hum_pi_t5,PM1_pi_t5,PM2.5_pi_t5,PM10_pi_t5,wind_speed_t5,PM2.5_pi,PM10_pi
390,9.418181818181816,49.354545454545466,2.497272727272727,4.824545454545455,7.21,9.659814,10.000000000000002,43.77272727272727,2.983636363636364,6.418181818181819,10.016363636363636,10.00256,10.5,40.3,1.7641666666666669,4.707500000000001,7.884166666666666,5.8048253,11.9,34.78333333333334,3.0175,7.178333333333334,11.612500000000002,3.6179552,15.175,29.13333333333333,3.584166666666667,6.526666666666666,9.4925,2.968636,18.241666666666664,25.941666666666663,3.920833333333334,8.873333333333333,14.105833333333331,3.96,5.215833333333332,7.390833333333334
391,8.625000000000002,53.50833333333333,3.018333333333334,5.215833333333332,7.390833333333334,9.021574,9.418181818181816,49.354545454545466,2.497272727272727,4.824545454545455,7.21,9.659814,10.000000000000002,43.77272727272727,2.983636363636364,6.418181818181819,10.016363636363636,10.00256,10.5,40.3,1.7641666666666669,4.707500000000001,7.884166666666666,5.8048253,11.9,34.78333333333334,3.0175,7.178333333333334,11.612500000000002,3.6179552,15.175,29.13333333333333,3.584166666666667,6.526666666666666,9.4925,2.968636,6.838999999999999,11.16
392,8.05,55.58999999999999,2.798,6.838999999999999,11.16,8.699793,8.625000000000002,53.50833333333333,3.018333333333334,5.215833333333332,7.390833333333334,9.021574,9.418181818181816,49.354545454545466,2.497272727272727,4.824545454545455,7.21,9.659814,10.000000000000002,43.77272727272727,2.983636363636364,6.418181818181819,10.016363636363636,10.00256,10.5,40.3,1.7641666666666669,4.707500000000001,7.884166666666666,5.8048253,11.9,34.78333333333334,3.0175,7.178333333333334,11.612500000000002,3.6179552,5.002727272727273,7.559090909090909
393,7.418181818181818,57.34545454545455,2.522727272727273,5.002727272727273,7.559090909090909,9.0,8.05,55.58999999999999,2.798,6.838999999999999,11.16,8.699793,8.625000000000002,53.50833333333333,3.018333333333334,5.215833333333332,7.390833333333334,9.021574,9.418181818181816,49.354545454545466,2.497272727272727,4.824545454545455,7.21,9.659814,10.000000000000002,43.77272727272727,2.983636363636364,6.418181818181819,10.016363636363636,10.00256,10.5,40.3,1.7641666666666669,4.707500000000001,7.884166666666666,5.8048253,8.48625,14.3625
394,6.7875,58.5875,3.0625,8.48625,14.3625,7.636752599999999,7.418181818181818,57.34545454545455,2.522727272727273,5.002727272727273,7.559090909090909,9.0,8.05,55.58999999999999,2.798,6.838999999999999,11.16,8.699793,8.625000000000002,53.50833333333333,3.018333333333334,5.215833333333332,7.390833333333334,9.021574,9.418181818181816,49.354545454545466,2.497272727272727,4.824545454545455,7.21,9.659814,10.000000000000002,43.77272727272727,2.983636363636364,6.418181818181819,10.016363636363636,10.00256,6.048,10.034
395,6.349999999999999,59.49999999999999,2.346,6.048,10.034,8.707238,6.7875,58.5875,3.0625,8.48625,14.3625,7.636752599999999,7.418181818181818,57.34545454545455,2.522727272727273,5.002727272727273,7.559090909090909,9.0,8.05,55.58999999999999,2.798,6.838999999999999,11.16,8.699793,8.625000000000002,53.50833333333333,3.018333333333334,5.215833333333332,7.390833333333334,9.021574,9.418181818181816,49.354545454545466,2.497272727272727,4.824545454545455,7.21,9.659814,3.4445454545454552,5.148181818181818
396,5.809090909090909,61.24545454545454,1.782727272727273,3.4445454545454552,5.148181818181818,10.594036,6.349999999999999,59.49999999999999,2.346,6.048,10.034,8.707238,6.7875,58.5875,3.0625,8.48625,14.3625,7.636752599999999,7.418181818181818,57.34545454545455,2.522727272727273,5.002727272727273,7.559090909090909,9.0,8.05,55.58999999999999,2.798,6.838999999999999,11.16,8.699793,8.625000000000002,53.50833333333333,3.018333333333334,5.215833333333332,7.390833333333334,9.021574,5.63,9.211
397,5.499999999999999,61.18000000000001,2.284,5.63,9.211,5.8603754,5.809090909090909,61.24545454545454,1.782727272727273,3.4445454545454552,5.148181818181818,10.594036,6.349999999999999,59.49999999999999,2.346,6.048,10.034,8.707238,6.7875,58.5875,3.0625,8.48625,14.3625,7.636752599999999,7.418181818181818,57.34545454545455,2.522727272727273,5.002727272727273,7.559090909090909,9.0,8.05,55.58999999999999,2.798,6.838999999999999,11.16,8.699793,4.010000000000001,6.323636363636364
398,5.545454545454546,59.13636363636363,1.8154545454545452,4.010000000000001,6.323636363636364,5.8048253,5.499999999999999,61.18000000000001,2.284,5.63,9.211,5.8603754,5.809090909090909,61.24545454545454,1.782727272727273,3.4445454545454552,5.148181818181818,10.594036,6.349999999999999,59.49999999999999,2.346,6.048,10.034,8.707238,6.7875,58.5875,3.0625,8.48625,14.3625,7.636752599999999,7.418181818181818,57.34545454545455,2.522727272727273,5.002727272727273,7.559090909090909,9.0,7.600000000000001,11.365833333333333
399,4.9833333333333325,61.61666666666667,3.929166666666666,7.600000000000001,11.365833333333333,4.73506,5.545454545454546,59.13636363636363,1.8154545454545452,4.010000000000001,6.323636363636364,5.8048253,5.499999999999999,61.18000000000001,2.284,5.63,9.211,5.8603754,5.809090909090909,61.24545454545454,1.782727272727273,3.4445454545454552,5.148181818181818,10.594036,6.349999999999999,59.49999999999999,2.346,6.048,10.034,8.707238,6.7875,58.5875,3.0625,8.48625,14.3625,7.636752599999999,8.113333333333332,12.313333333333334
400,4.8500000000000005,62.90833333333333,4.048333333333333,8.113333333333332,12.313333333333334,4.68,4.9833333333333325,61.61666666666667,3.929166666666666,7.600000000000001,11.365833333333333,4.73506,5.545454545454546,59.13636363636363,1.8154545454545452,4.010000000000001,6.323636363636364,5.8048253,5.499999999999999,61.18000000000001,2.284,5.63,9.211,5.8603754,5.809090909090909,61.24545454545454,1.782727272727273,3.4445454545454552,5.148181818181818,10.594036,6.349999999999999,59.49999999999999,2.346,6.048,10.034,8.707238,8.9,12.845833333333331
401,5.8500000000000005,59.925,4.964166666666666,8.9,12.845833333333331,2.6208394,4.8500000000000005,62.90833333333333,4.048333333333333,8.113333333333332,12.313333333333334,4.68,4.9833333333333325,61.61666666666667,3.929166666666666,7.600000000000001,11.365833333333333,4.73506,5.545454545454546,59.13636363636363,1.8154545454545452,4.010000000000001,6.323636363636364,5.8048253,5.499999999999999,61.18000000000001,2.284,5.63,9.211,5.8603754,5.809090909090909,61.24545454545454,1.782727272727273,3.4445454545454552,5.148181818181818,10.594036,7.712500000000001,10.448333333333334
402,6.908333333333334,55.35,4.84,7.712500000000001,10.448333333333334,4.0249224,5.8500000000000005,59.925,4.964166666666666,8.9,12.845833333333331,2.6208394,4.8500000000000005,62.90833333333333,4.048333333333333,8.113333333333332,12.313333333333334,4.68,4.9833333333333325,61.61666666666667,3.929166666666666,7.600000000000001,11.365833333333333,4.73506,5.545454545454546,59.13636363636363,1.8154545454545452,4.010000000000001,6.323636363636364,5.8048253,5.499999999999999,61.18000000000001,2.284,5.63,9.211,5.8603754,8.003333333333332,13.353333333333332
403,8.858333333333333,44.375,3.0425,8.003333333333332,13.353333333333332,5.1919937,6.908333333333334,55.35,4.84,7.712500000000001,10.448333333333334,4.0249224,5.8500000000000005,59.925,4.964166666666666,8.9,12.845833333333331,2.6208394,4.8500000000000005,62.90833333333333,4.048333333333333,8.113333333333332,12.313333333333334,4.68,4.9833333333333325,61.61666666666667,3.929166666666666,7.600000000000001,11.365833333333333,4.73506,5.545454545454546,59.13636363636363,1.8154545454545452,4.010000000000001,6.323636363636364,5.8048253,9.943333333333332,14.958333333333334
