time,temp_pi,hum_pi,PM1_pi,PM2.5_pi,PM10_pi,temp_blue,precip,hum_blue,wind_speed,wind_direction,cloud_cover,date,temp_sbs,hum_sbs,wind,pressure,PM2.5,PM10,AQI,sunrise,noon,sunset,daylight
2021-03-24 19:00:00+01:00,13.508333333333335,46.14166666666666,6.974166666666666,12.035833333333331,17.04,13.386313000000001,0.0,42.0,2.3051247999999998,231.3402,0.0,2021-03-24,15.0,33.0,3.7,1022.0,11.0,16.1,45.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 20:00:00+01:00,11.933333333333332,52.90833333333334,7.399166666666666,14.989166666666668,22.853333333333328,12.316314,0.0,47.0,5.815978,201.8014,0.0,2021-03-24,11.0,41.0,3.7,1022.0,11.0,,45.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 21:00:00+01:00,11.025,53.291666666666664,6.9624999999999995,13.917500000000002,21.104166666666668,9.896314,0.0,60.0,7.6282630000000005,199.29004,0.0,2021-03-24,11.0,41.0,3.7,1022.0,,,13.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 22:00:00+01:00,10.136363636363637,54.936363636363645,6.321818181818181,9.570909090909089,12.569090909090908,8.446314,0.0,66.0,7.6367525999999994,171.8699,0.0,2021-03-24,6.0,70.0,3.7,1023.0,,13.4,12.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 23:00:00+01:00,9.466666666666667,55.80000000000001,5.9225,10.301666666666666,14.647499999999999,7.2963133000000004,0.0,65.0,8.209263,164.74487,0.0,2021-03-24,6.0,70.0,3.7,1023.0,,13.5,16.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-25 00:00:00+01:00,8.891666666666667,57.46666666666666,4.454166666666667,9.2875,14.324999999999998,7.0763134999999995,0.0,53.0,7.594207300000001,174.55966,0.0,2021-03-25,4.0,75.0,3.7,1023.0,7.0,11.0,29.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 01:00:00+01:00,8.241666666666665,58.96666666666667,9.6875,16.1375,22.424166666666668,6.5463133000000004,0.0,45.0,6.9247380000000005,171.02737,0.0,2021-03-25,4.0,75.0,3.7,1023.0,7.0,11.0,29.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 02:00:00+01:00,7.574999999999999,60.84166666666667,4.585000000000001,9.209166666666667,13.9925,5.966313400000001,0.0,40.0,6.519876999999999,173.6598,0.0,2021-03-25,2.0,81.0,4.1,1023.0,7.0,10.2,29.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 03:00:00+01:00,7.118181818181818,63.73636363636364,4.270909090909091,9.26909090909091,14.51909090909091,5.2963133000000004,0.0,45.0,9.36,180.0,2.4,2021-03-25,2.0,81.0,4.1,1023.0,,8.5,17.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 04:00:00+01:00,6.390909090909091,65.27272727272727,3.354545454545455,8.618181818181819,14.280909090909091,4.2963133000000004,0.0,53.0,6.28713,193.24052,2.4,2021-03-25,0.0,80.0,3.9,1022.0,6.0,8.6,25.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
