hour_t0,temp_pi_t0,hum_pi_t0,wind_speed_t0,precip_t0,PM2.5_pi_t0,PM10_pi_t0,hour_t1,temp_pi_t1,hum_pi_t1,wind_speed_t1,precip_t1,PM2.5_pi_t1,PM10_pi_t1,hour_t2,temp_pi_t2,hum_pi_t2,wind_speed_t2,precip_t2,PM2.5_pi_t2,PM10_pi_t2,hour_t3,temp_pi_t3,hum_pi_t3,wind_speed_t3,precip_t3,PM2.5_pi_t3,PM10_pi_t3,hour_t4,temp_pi_t4,hum_pi_t4,wind_speed_t4,precip_t4,PM2.5_pi_t4,PM10_pi_t4,hour_t5,temp_pi_t5,hum_pi_t5,wind_speed_t5,precip_t5,PM2.5_pi_t5,PM10_pi_t5,PM2.5_pi,PM10_pi
15.0,19.691666666666663,31.10833333333333,1.9386592,0.0,7.618333333333333,10.981666666666667,16.0,15.566666666666668,38.85833333333334,1.8,0.0,15.308333333333332,24.43583333333333,17.0,14.766666666666666,41.725,2.968636,0.0,11.828333333333331,18.19,18.0,13.508333333333336,46.14166666666666,2.3051248,0.0,12.035833333333333,17.04,19.0,11.933333333333332,52.90833333333334,5.815978,0.0,14.989166666666668,22.853333333333328,20.0,11.025,53.29166666666666,7.628263,0.0,13.917500000000002,21.104166666666668,9.570909090909089,12.569090909090908
18.0,13.508333333333336,46.14166666666666,2.3051248,0.0,12.035833333333333,17.04,19.0,11.933333333333332,52.90833333333334,5.815978,0.0,14.989166666666668,22.853333333333328,20.0,11.025,53.29166666666666,7.628263,0.0,13.917500000000002,21.104166666666668,21.0,10.136363636363637,54.936363636363645,7.636752599999999,0.0,9.570909090909089,12.569090909090908,22.0,9.466666666666669,55.80000000000001,8.209263,0.0,10.301666666666666,14.6475,23.0,8.891666666666667,57.46666666666666,7.594207300000001,0.0,9.2875,14.324999999999998,16.1375,22.424166666666668
21.0,10.136363636363637,54.936363636363645,7.636752599999999,0.0,9.570909090909089,12.569090909090908,22.0,9.466666666666669,55.80000000000001,8.209263,0.0,10.301666666666666,14.6475,23.0,8.891666666666667,57.46666666666666,7.594207300000001,0.0,9.2875,14.324999999999998,0.0,8.241666666666665,58.96666666666667,6.9247380000000005,0.0,16.1375,22.424166666666668,1.0,7.574999999999999,60.84166666666667,6.519876999999999,0.0,9.209166666666668,13.9925,2.0,7.118181818181818,63.73636363636364,9.36,0.0,9.26909090909091,14.51909090909091,8.618181818181819,14.280909090909091
0.0,8.241666666666665,58.96666666666667,6.9247380000000005,0.0,16.1375,22.424166666666668,1.0,7.574999999999999,60.84166666666667,6.519876999999999,0.0,9.209166666666668,13.9925,2.0,7.118181818181818,63.73636363636364,9.36,0.0,9.26909090909091,14.51909090909091,3.0,6.390909090909091,65.27272727272727,6.28713,0.0,8.618181818181819,14.280909090909091,4.0,5.824999999999999,67.26666666666668,4.6938252,0.0,8.954166666666667,12.653333333333334,5.0,5.775000000000001,66.375,5.4119864,0.0,9.391666666666666,14.9475,8.385833333333332,12.790833333333332
3.0,6.390909090909091,65.27272727272727,6.28713,0.0,8.618181818181819,14.280909090909091,4.0,5.824999999999999,67.26666666666668,4.6938252,0.0,8.954166666666667,12.653333333333334,5.0,5.775000000000001,66.375,5.4119864,0.0,9.391666666666666,14.9475,6.0,5.75,69.925,6.638072,0.0,8.385833333333332,12.790833333333332,7.0,6.858333333333332,62.21666666666666,5.937272,0.0,9.09,13.639166666666668,8.0,7.49090909090909,58.53636363636363,3.96,0.0,7.783636363636364,12.37909090909091,7.644999999999999,12.469166666666668
6.0,5.75,69.925,6.638072,0.0,8.385833333333332,12.790833333333332,7.0,6.858333333333332,62.21666666666666,5.937272,0.0,9.09,13.639166666666668,8.0,7.49090909090909,58.53636363636363,3.96,0.0,7.783636363636364,12.37909090909091,9.0,10.991666666666664,49.48333333333334,7.491114,0.0,7.644999999999999,12.469166666666668,10.0,16.433333333333337,39.75,11.923557,0.0,8.121666666666668,11.615000000000002,11.0,19.541666666666668,34.30833333333334,12.522619,0.0,15.366666666666664,24.076666666666668,10.486666666666666,15.729166666666666
9.0,10.991666666666664,49.48333333333334,7.491114,0.0,7.644999999999999,12.469166666666668,10.0,16.433333333333337,39.75,11.923557,0.0,8.121666666666668,11.615000000000002,11.0,19.541666666666668,34.30833333333334,12.522619,0.0,15.366666666666664,24.076666666666668,12.0,22.21666666666667,30.375,12.371645,0.0,10.486666666666666,15.729166666666666,13.0,23.325,28.85833333333333,12.959999,0.0,10.105833333333331,15.400833333333331,14.0,23.224999999999994,29.66666666666667,11.879999,0.0,8.435,12.7075,9.48,15.120833333333335
12.0,22.21666666666667,30.375,12.371645,0.0,10.486666666666666,15.729166666666666,13.0,23.325,28.85833333333333,12.959999,0.0,10.105833333333331,15.400833333333331,14.0,23.224999999999994,29.66666666666667,11.879999,0.0,8.435,12.7075,15.0,19.591666666666665,34.31666666666667,12.6462,0.0,9.48,15.120833333333335,16.0,18.05,38.1,13.910169,0.0,11.251666666666663,17.055000000000003,17.0,16.825,39.99166666666667,14.145756,0.0,10.874166666666666,16.550833333333333,11.035833333333333,15.493333333333332
15.0,19.591666666666665,34.31666666666667,12.6462,0.0,9.48,15.120833333333335,16.0,18.05,38.1,13.910169,0.0,11.251666666666663,17.055000000000003,17.0,16.825,39.99166666666667,14.145756,0.0,10.874166666666666,16.550833333333333,18.0,15.55,42.90833333333333,13.207634,0.0,11.035833333333333,15.493333333333332,19.0,14.858333333333333,44.35833333333333,10.365251,0.0,10.1175,13.269166666666669,20.0,13.975,48.36666666666667,8.049845,0.0,11.321666666666667,15.937500000000002,11.966666666666669,17.74416666666666
18.0,15.55,42.90833333333333,13.207634,0.0,11.035833333333333,15.493333333333332,19.0,14.858333333333333,44.35833333333333,10.365251,0.0,10.1175,13.269166666666669,20.0,13.975,48.36666666666667,8.049845,0.0,11.321666666666667,15.937500000000002,21.0,12.908333333333331,55.133333333333326,6.9899354,0.0,11.966666666666669,17.74416666666666,22.0,11.875,59.76666666666666,6.792466,0.0,8.160000000000002,9.2375,23.0,11.083333333333334,60.41666666666666,5.692099,0.0,11.775833333333331,17.069999999999997,13.268333333333333,20.064166666666665
